Ticker,Company,Sector,Industry,Country,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Return on Assets,Return on Equity,Return on Investment,Gross Margin,Operating Margin,Profit Margin,Performance (Quarter),Performance (Half Year),Performance (Year),Beta,Volatility (Week),Volatility (Month),50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Price
CXO,"Concho Resources, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,58.28,23.6,2.45,5.64,2.96,40.88,,,0.00%,2.27,-42.20%,30.14%,-7.20%,23.75%,36.00%,-88.80%,-31.90%,2.40%,5.90%,6.30%,80.80%,35.50%,8.90%,1.18%,11.59%,39.25%,1.52,2.27%,2.68%,-5.54%,8.63%,-10.98%,4.21%,-10.98%,42.89%,44.29,132.29
CYH,"Community Health Systems, Inc.",Healthcare,Hospitals,USA,,13.26,,0.39,1.56,15.49,9.82,,,-0.11,-49.00%,29.01%,-6.50%,13.00%,3.50%,7.90%,49.80%,-0.20%,-1.10%,6.30%,84.60%,6.70%,-0.20%,22.11%,21.65%,26.09%,1.59,2.16%,2.92%,12.53%,25.76%,0.54%,24.62%,0.54%,50.91%,69.73,52.14
D,"Dominion Resources, Inc.",Utilities,Electric Utilities,USA,25.94,18.62,4.31,3.1,3.5,96.66,,3.45%,88.10%,2.68,24.10%,6.47%,1.80%,6.02%,-3.80%,-42.60%,-5.60%,3.10%,13.30%,7.00%,86.30%,23.00%,11.80%,1.15%,-0.81%,24.70%,0.35,1.10%,1.54%,0.55%,2.70%,-3.05%,7.42%,-4.92%,26.07%,55.64,69.51
DAL,Delta Air Lines Inc.,Services,Major Airlines,USA,3.19,10.57,0.28,0.87,2.78,8.35,14.62,0.59%,1.90%,12.66,931.90%,18.18%,21.50%,11.35%,10.70%,17.50%,9.40%,21.40%,122.00%,49.70%,36.90%,11.20%,27.80%,3.46%,25.03%,101.25%,0.97,2.09%,2.83%,6.23%,18.88%,-0.88%,16.83%,-5.05%,116.19%,64.22,40.41
DCI,"Donaldson Company, Inc.",Industrial Goods,Pollution & Treatment Controls,USA,23.29,20.96,2.27,2.38,5.23,14.83,36.6,1.63%,30.50%,1.74,-5.20%,11.28%,9.10%,10.27%,1.80%,0.00%,0.80%,14.40%,23.10%,18.70%,35.60%,14.60%,10.70%,0.60%,-1.58%,12.74%,1.03,1.30%,1.38%,0.00%,-1.56%,-4.48%,6.35%,-6.28%,18.87%,58.55,40.52
DD,E. I. du Pont de Nemours and Company,Basic Materials,Agricultural Chemicals,USA,20.78,14.18,2.68,1.7,3.59,13.87,379.11,2.73%,55.90%,3.17,16.90%,15.55%,6.70%,7.76%,2.40%,3.60%,-1.10%,5.90%,19.00%,10.80%,37.30%,12.60%,8.40%,-2.59%,3.41%,17.71%,1.45,0.69%,1.20%,0.71%,2.62%,-3.86%,4.14%,-4.89%,20.76%,54.59,65.86
DDD,3D Systems Corporation,Technology,Computer Peripherals,USA,143.91,44.11,6.45,9.39,4.17,9.71,297.67,0.22%,0.00%,0.35,-6.30%,46.22%,47.60%,22.30%,29.90%,-80.00%,25.40%,3.00%,3.50%,6.40%,50.80%,10.20%,6.10%,-7.41%,-34.06%,3.94%,2.22,2.02%,3.23%,-6.05%,-21.47%,-27.59%,9.38%,-48.22%,16.19%,47.47,50.37
DDR,DDR Corp.,Financial,REIT - Retail,USA,450.25,529.71,75.93,6.64,1.86,18.02,,3.44%,560.00%,0.04,-100.00%,9.50%,34.20%,5.93%,1.50%,525.00%,22.10%,0.40%,1.10%,2.10%,71.30%,23.20%,3.80%,5.82%,12.07%,17.64%,1.63,1.25%,1.26%,1.63%,9.24%,-1.96%,5.75%,-1.96%,23.22%,56.08,18.01
DE,Deere & Company,Industrial Goods,Farm & Construction Machinery,USA,9.45,12.2,1.18,0.84,2.83,10.16,19.53,2.83%,18.80%,8.97,19.10%,-17.05%,14.10%,8.00%,5.90%,-9.00%,-5.10%,6.70%,38.10%,9.60%,31.60%,15.40%,10.90%,-5.18%,1.21%,4.29%,1.29,1.16%,1.33%,-3.67%,-3.35%,-7.82%,1.51%,-10.08%,6.87%,39.68,84.76
DFS,Discover Financial Services,Financial,Credit Services,USA,12.19,11,1.67,3.91,2.67,4.17,11.13,1.55%,16.50%,5.09,7.30%,6.02%,15.80%,7.29%,17.60%,12.50%,7.90%,3.10%,23.20%,10.90%,,59.80%,33.00%,8.73%,8.88%,28.59%,1.07,1.06%,1.21%,0.44%,9.11%,-3.36%,5.14%,-3.36%,34.30%,55.63,62.03
DG,Dollar General Corporation,Services,"Discount, Variety Stores",USA,19.78,15.72,1.34,1.09,4.08,116.14,22.87,,0.00%,3.22,11.20%,15.29%,56.30%,14.76%,10.90%,7.50%,6.80%,9.60%,19.80%,13.80%,30.90%,9.60%,5.80%,14.24%,9.74%,14.84%,0.26,2.06%,2.25%,9.18%,9.96%,-1.62%,18.41%,-3.50%,20.15%,69.98,63.68
DGX,Quest Diagnostics Inc.,Healthcare,Medical Laboratories & Research,USA,11.87,14.32,1.23,1.25,2.19,62.51,26.71,2.12%,23.20%,5.25,35.20%,7.56%,10.50%,9.66%,-0.30%,-7.10%,4.80%,8.40%,19.70%,13.40%,38.80%,14.40%,10.90%,9.12%,17.12%,8.19%,0.7,1.25%,1.47%,3.48%,9.22%,-0.89%,8.28%,-1.13%,24.88%,58.9,62.33
DHI,DR Horton Inc.,Industrial Goods,Residential Construction,USA,15.27,11.65,3.05,1.07,1.54,13.84,,0.69%,12.00%,1.43,-54.20%,20.50%,16.60%,5.00%,-1.20%,-23.80%,26.80%,6.80%,14.30%,6.10%,22.60%,10.60%,8.50%,-7.06%,-7.46%,13.99%,1.43,1.75%,2.19%,-3.77%,-0.56%,-13.15%,9.25%,-13.15%,25.43%,52.8,21.84
DHR,Danaher Corp.,Industrial Goods,Diversified Machinery,USA,20.82,18.71,1.69,2.76,2.28,16.25,18.92,0.52%,4.60%,3.7,17.30%,12.27%,13.90%,12.34%,8.50%,9.20%,4.80%,7.60%,11.70%,9.30%,52.20%,17.30%,13.50%,-1.63%,0.89%,14.87%,1.17,0.94%,1.11%,-0.01%,1.75%,-4.46%,5.51%,-4.93%,19.33%,57.84,77.04
DIS,The Walt Disney Company,Services,Entertainment - Diversified,USA,21.7,19.28,1.36,3.24,3.44,37.98,33.28,0.95%,20.40%,4.17,8.00%,9.39%,8.20%,15.92%,3.50%,26.70%,7.70%,8.90%,16.40%,9.90%,23.60%,23.70%,15.40%,8.61%,12.09%,48.61%,1.21,0.70%,1.15%,5.08%,14.32%,-0.04%,10.62%,-0.04%,51.64%,69.02,90.49
DISCA,"Discovery Communications, Inc.",Services,CATV Systems,USA,13.59,10.67,0.71,3.26,2.52,51.95,16.53,,0.00%,3.26,18.70%,12.73%,28.20%,19.23%,10.40%,32.90%,9.70%,7.50%,18.70%,10.50%,67.90%,34.70%,19.40%,10.86%,5.13%,7.97%,1.2,1.54%,2.30%,7.74%,6.52%,-1.27%,21.01%,-4.47%,21.15%,63.65,44.3
DISH,Dish Network Corp.,Services,CATV Systems,USA,36.62,33.02,5.18,2.11,26.35,3.33,29.28,,0.00%,1.77,24.80%,16.50%,-1.20%,7.07%,3.70%,-20.80%,6.50%,6.30%,163.40%,7.20%,26.00%,12.60%,9.10%,8.27%,12.99%,45.04%,1.04,1.57%,1.87%,2.17%,10.04%,-3.97%,10.73%,-3.97%,48.16%,58.17,64.82
DKS,Dick's Sporting Goods Inc.,Services,Sporting Goods Stores,USA,16.5,14.2,1.25,0.88,3.16,39.77,65.38,1.11%,17.90%,2.74,16.50%,14.37%,56.80%,13.23%,8.50%,9.60%,7.90%,10.80%,20.20%,19.30%,31.20%,8.70%,5.40%,5.24%,-11.53%,-1.76%,1.17,3.07%,2.31%,2.26%,-10.91%,-4.80%,9.47%,-22.81%,9.47%,62.83,45.21
DLR,Digital Realty Trust Inc.,Financial,REIT - Office,USA,33.96,56.51,13.06,5.75,2.9,110.36,41.74,5.04%,159.30%,1.94,43.20%,21.21%,41.00%,2.60%,23.00%,-16.20%,10.40%,2.70%,8.80%,4.90%,62.70%,23.60%,16.60%,16.54%,25.41%,31.46%,0.58,1.72%,1.55%,7.17%,23.61%,-2.75%,17.74%,-2.75%,60.44%,62.45,65.89
DLTR,"Dollar Tree, Inc.",Services,"Discount, Variety Stores",USA,19.24,14.99,1.21,1.41,8.52,28.99,19.93,,0.00%,2.82,1.50%,14.71%,26.50%,15.97%,11.00%,13.60%,7.20%,20.90%,45.60%,31.60%,35.50%,12.40%,7.50%,3.01%,3.70%,2.14%,0.3,1.49%,2.26%,-0.69%,0.42%,-9.32%,2.54%,-9.84%,9.43%,46.05,54.26
DNR,Denbury Resources Inc.,Basic Materials,Independent Oil & Gas,USA,31.66,14.29,,2.28,1.15,492.62,172.85,1.49%,23.10%,0.53,-17.80%,8.91%,-6.30%,-0.20%,12.90%,-145.70%,3.40%,1.70%,3.80%,6.90%,99.20%,34.80%,7.50%,0.42%,3.64%,-1.18%,1.95,1.36%,2.01%,-3.99%,-0.09%,-9.74%,4.29%,-13.76%,8.66%,44.82,16.78
DO,"Diamond Offshore Drilling, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,14.17,10.95,3.01,2.09,1.3,4.45,,1.16%,16.40%,3.05,-23.70%,24.63%,-16.00%,4.70%,-3.80%,-51.10%,-8.70%,5.20%,9.20%,8.10%,39.80%,21.90%,14.90%,-12.69%,-7.43%,-29.28%,1.27,1.55%,2.12%,-8.33%,-12.11%,-13.68%,-1.23%,-30.28%,2.45%,27.55,43.21
DOV,Dover Corporation,Industrial Goods,Diversified Machinery,USA,17.57,16.38,4.39,1.76,3.8,27.04,28.48,1.69%,30.30%,5.06,23.00%,12.18%,8.70%,4.00%,2.90%,-13.40%,6.00%,8.60%,18.30%,13.20%,38.70%,16.10%,10.00%,2.59%,20.78%,25.80%,1.48,1.30%,1.38%,0.40%,9.00%,-3.22%,5.80%,-3.22%,32.29%,54.85,88.88
DOW,The Dow Chemical Company,Basic Materials,Chemicals - Major Diversified,USA,19.31,14.75,1.93,1.1,2.75,16.5,90.47,2.79%,46.80%,2.75,388.60%,21.78%,42.10%,10.03%,-0.10%,-59.40%,2.30%,4.90%,15.30%,11.80%,16.80%,9.00%,5.90%,5.54%,14.78%,47.12%,1.79,0.87%,1.53%,2.04%,12.59%,-2.16%,5.50%,-2.16%,48.32%,57.06,53.11
DPM,DCP Midstream Partners LP,Basic Materials,Oil & Gas Pipelines,USA,37.17,21.61,4.77,1.81,1.92,223.54,,5.45%,196.10%,1.47,-41.20%,51.35%,-20.10%,7.80%,10.20%,4.20%,44.30%,2.60%,6.00%,5.60%,19.50%,8.20%,3.60%,-0.69%,15.98%,17.38%,0.82,1.39%,2.10%,-0.38%,8.61%,-4.42%,6.57%,-4.42%,26.68%,52.13,54.64
DPS,"Dr Pepper Snapple Group, Inc.",Consumer Goods,Beverages - Soft Drinks,USA,16.71,16.06,2.19,1.96,5.24,87.42,22.39,2.71%,43.30%,3.62,3.00%,5.94%,35.00%,7.63%,1.00%,41.30%,1.20%,8.90%,32.10%,23.20%,59.40%,19.50%,12.10%,6.87%,18.61%,37.96%,0.04,1.00%,1.25%,1.64%,14.03%,-2.33%,5.29%,-2.33%,43.30%,53.93,60.48
DRC,Dresser-Rand Group Inc.,Industrial Goods,Diversified Machinery,USA,41.1,21.83,2.64,1.87,3.84,37.69,,,0.00%,1.66,-6.80%,20.28%,-1.50%,15.55%,6.70%,-44.90%,-22.00%,3.50%,9.80%,9.00%,26.60%,11.30%,4.60%,12.13%,24.24%,10.94%,1.02,2.34%,3.33%,8.05%,14.52%,-5.12%,20.14%,-5.12%,32.59%,65.63,68.23
DRE,Duke Realty Corporation,Financial,REIT - Industrial,USA,,,,5.63,2.36,322.96,49.9,3.68%,130.80%,-0.01,109.60%,6.00%,-20.80%,3.20%,-2.70%,-100.00%,14.00%,2.20%,6.60%,4.30%,55.90%,16.30%,15.10%,6.58%,13.46%,31.20%,1.38,1.43%,1.40%,2.84%,12.62%,-1.81%,6.64%,-1.81%,35.94%,60.35,18.46
DRI,"Darden Restaurants, Inc.",Services,Restaurants,USA,34.47,19.16,344.71,1,2.89,64.03,177.8,4.62%,59.30%,1.38,-23.30%,11.65%,-12.20%,0.10%,-2.70%,531.30%,,6.80%,23.10%,6.30%,20.60%,5.20%,7.70%,-2.84%,-4.57%,5.31%,0.8,0.98%,1.52%,2.72%,-2.41%,-4.36%,9.21%,-10.38%,11.18%,59.02,47.57
DTE,DTE Energy Company,Utilities,Electric Utilities,USA,17.59,16.71,3,1.18,1.7,181.45,,3.59%,59.20%,4.37,-2.30%,4.76%,3.20%,5.87%,0.70%,16.70%,21.30%,3.00%,9.70%,5.90%,24.50%,11.70%,6.70%,3.60%,8.96%,19.32%,0.34,1.15%,1.54%,1.34%,7.65%,-1.68%,7.39%,-2.36%,23.02%,56.18,76.89
DTV,DIRECTV,Services,CATV Systems,USA,15.37,13.09,1.79,1.31,,18.54,14.59,,0.00%,5.5,12.90%,9.03%,30.60%,8.60%,10.00%,34.70%,5.30%,13.20%,-43.30%,26.80%,47.30%,16.90%,8.90%,1.15%,12.55%,45.37%,1.04,0.74%,0.95%,-0.79%,10.27%,-4.19%,2.47%,-5.49%,48.20%,46.17,84.55
DUK,Duke Energy Corporation,Utilities,Diversified Utilities,USA,23.51,15.3,5.61,2.03,1.26,25.67,,4.28%,75.20%,3.1,24.60%,3.66%,4.40%,4.19%,13.20%,81.30%,1.20%,1.90%,5.40%,4.50%,69.30%,21.90%,8.70%,4.85%,4.77%,15.48%,0.24,1.15%,1.50%,1.70%,4.90%,-1.07%,7.10%,-1.07%,18.69%,57.04,72.87
DVA,DaVita HealthCare Partners Inc.,Healthcare,Specialized Health Services,USA,23.38,18.35,2.46,1.29,3.27,10.65,13.99,,0.00%,3.15,5.50%,10.86%,10.30%,9.51%,15.80%,-42.40%,10.50%,3.90%,15.00%,9.10%,29.60%,15.10%,5.50%,7.06%,9.11%,33.93%,0.7,1.07%,1.25%,2.00%,9.58%,-1.59%,5.47%,-1.59%,39.62%,60.02,73.65
DVN,Devon Energy Corporation,Basic Materials,Independent Oil & Gas,USA,18.58,11.77,1.07,2.24,1.4,17.78,,1.29%,22.40%,3.99,89.40%,9.43%,62.60%,17.40%,-5.60%,200.60%,-10.10%,3.50%,7.80%,1.20%,82.60%,20.50%,11.90%,2.39%,15.97%,31.17%,1.32,1.24%,1.90%,-3.54%,9.75%,-8.04%,3.74%,-8.04%,33.93%,43.96,74.15
EA,Electronic Arts Inc.,Technology,Multimedia & Graphics Software,USA,165.91,16.67,6.82,3.11,4.4,5.15,13.73,,0.00%,0.23,-90.30%,19.53%,15.00%,24.33%,-3.20%,46.50%,27.90%,2.20%,5.10%,1.10%,60.40%,3.00%,3.20%,9.40%,36.48%,37.37%,0.98,1.70%,2.24%,5.84%,28.90%,-1.24%,15.60%,-1.24%,86.42%,65.1,38.16
EBAY,eBay Inc.,Services,"Specialty Retail, Other",USA,,16.43,,4.04,3.68,9.39,14.84,,,-0.11,9.50%,13.74%,9.90%,12.58%,13.40%,8.20%,12.60%,-0.30%,-0.50%,9.90%,68.20%,20.50%,-0.70%,6.69%,-1.42%,8.65%,0.92,2.12%,1.54%,7.61%,4.70%,-2.72%,14.43%,-7.04%,15.48%,69.22,55.5
ECL,Ecolab Inc.,Consumer Goods,Cleaning Products,USA,31.75,23.54,2.06,2.44,4.6,182.12,,0.97%,27.70%,3.58,34.50%,15.31%,11.90%,15.40%,16.60%,47.80%,6.90%,5.60%,15.30%,8.70%,45.70%,13.40%,7.90%,5.46%,11.57%,25.42%,0.66,0.73%,1.08%,3.47%,6.93%,-0.46%,6.91%,-0.46%,27.32%,69.66,113.66
ED,"Consolidated Edison, Inc.",Utilities,Diversified Utilities,USA,13.65,14.69,5.02,1.29,1.35,159.49,,4.41%,58.90%,4.19,-6.50%,2.83%,1.40%,2.72%,-1.90%,89.20%,19.00%,3.00%,10.10%,7.20%,68.10%,18.50%,9.50%,6.82%,3.72%,5.48%,0.2,0.99%,1.23%,2.03%,4.54%,-1.12%,6.84%,-1.28%,10.70%,57.85,57.18
EEP,"Enbridge Energy Partners, L.P.",Basic Materials,Oil & Gas Pipelines,USA,,27.9,,1.53,3,33.61,,6.06%,,-0.01,-130.70%,37.62%,-17.30%,31.20%,-6.40%,111.10%,-44.40%,0.00%,-0.10%,4.40%,25.80%,8.10%,0.00%,16.60%,38.98%,27.46%,0.57,1.34%,2.16%,4.62%,21.43%,-1.94%,18.09%,-1.94%,42.61%,63.83,35.83
EFX,Equifax Inc.,Financial,Credit Services,USA,28.75,18.13,2.79,4.05,3.97,103.84,24.94,1.28%,33.90%,2.72,23.90%,11.45%,7.20%,10.30%,4.90%,2.70%,4.60%,7.30%,14.60%,11.30%,65.40%,26.60%,14.30%,12.46%,12.37%,26.32%,0.91,0.86%,1.06%,5.09%,11.46%,-0.70%,10.38%,-0.70%,34.50%,68.82,78.19
EGN,Energen Corp.,Basic Materials,Independent Oil & Gas,USA,79.75,23.92,21.55,4.12,1.91,128.81,,0.78%,39.10%,0.96,-24.40%,16.41%,-9.80%,3.70%,2.10%,-103.50%,-26.30%,1.60%,3.80%,5.10%,90.60%,10.40%,8.10%,-9.45%,-4.73%,14.54%,1.31,1.71%,2.39%,-9.43%,-2.35%,-15.38%,1.96%,-15.38%,18.07%,35.25,76.56
EIX,Edison International,Utilities,Electric Utilities,USA,15.04,16.28,3.89,1.48,1.84,100.3,,2.43%,31.20%,3.89,-41.30%,-7.16%,-6.20%,3.87%,-2.30%,424.20%,-1.00%,3.10%,14.50%,7.20%,61.50%,18.90%,11.30%,8.94%,15.02%,30.18%,0.46,1.40%,1.76%,3.26%,12.53%,-1.17%,9.44%,-1.17%,35.86%,60.54,58.49
EL,Estee Lauder Companies Inc.,Consumer Goods,Personal Products,USA,28.9,24.07,2.38,2.74,8.02,19.08,43.71,1.05%,28.40%,2.64,19.40%,3.63%,16.50%,12.14%,5.20%,20.00%,11.30%,13.80%,28.90%,22.80%,80.30%,15.10%,9.80%,2.13%,12.99%,14.67%,1.1,0.94%,1.46%,1.51%,5.49%,-1.24%,4.75%,-1.36%,20.58%,57.72,76.29
EMC,EMC Corporation,Technology,Data Storage Devices,USA,24.1,13.7,2.39,2.55,2.7,7.86,14.04,1.55%,33.30%,1.23,7.30%,12.94%,16.90%,10.08%,9.30%,-9.40%,4.70%,5.80%,11.60%,11.50%,62.20%,17.40%,11.00%,11.93%,16.33%,16.05%,1.27,0.99%,1.48%,6.26%,13.86%,-1.63%,14.97%,-1.63%,29.60%,62.76,29.64
EMN,Eastman Chemical Co.,Basic Materials,Chemicals - Major Diversified,USA,10.66,10.51,1.32,1.29,3.13,69.32,21.47,1.72%,17.40%,7.63,154.80%,12.32%,26.80%,8.07%,9.50%,13.60%,0.80%,9.90%,31.50%,16.80%,29.20%,20.30%,12.60%,-5.37%,-2.49%,4.08%,1.75,0.99%,1.48%,-4.21%,-1.33%,-9.20%,4.00%,-9.82%,12.91%,43.41,81.34
EMR,Emerson Electric Co.,Industrial Goods,Industrial Electrical Equipment,USA,18.1,15.7,1.95,1.84,4.18,14.79,26.32,2.66%,47.20%,3.57,3.40%,11.43%,-2.20%,9.28%,0.80%,285.20%,-0.50%,10.30%,23.80%,14.10%,41.00%,16.20%,10.30%,-2.18%,1.76%,6.92%,1.35,0.88%,1.47%,-1.34%,-1.62%,-5.45%,6.89%,-6.74%,10.28%,53.68,64.6
ENBL,"Enable Midstream Partners, LP",Basic Materials,Oil & Gas Pipelines,USA,21.49,20.23,2.15,3.16,1.22,26.24,,,0.00%,1.2,410.50%,4.42%,0.00%,10.00%,,-91.00%,35.10%,16.70%,22.70%,15.60%,40.30%,16.20%,54.70%,4.97%,,,,2.84%,3.11%,3.04%,4.93%,-5.12%,14.44%,-5.12%,24.04%,54.77,25.79
ENDP,Endo International plc,Healthcare,Drug Manufacturers - Other,USA,,14.77,,3.88,2.75,8.71,522.68,,,-8.93,21.20%,6.41%,-33.80%,6.61%,15.70%,-39.50%,-9.70%,-15.70%,-76.30%,-8.50%,59.80%,24.20%,-45.40%,-13.82%,-19.24%,65.21%,1.18,1.77%,2.71%,-4.80%,-5.65%,-11.76%,4.24%,-22.44%,65.76%,43.26,63.72
ENLC,"EnLink Midstream, LLC",Basic Materials,Oil & Gas Refining & Marketing,USA,42.76,62.67,2.38,2.3,1.01,423.43,,1.75%,14.30%,0.96,40.80%,4.47%,0.00%,18.00%,,-12.20%,57.70%,2.80%,4.60%,5.60%,27.20%,9.20%,7.00%,1.89%,0.32%,111.38%,0.94,1.10%,2.41%,2.34%,11.76%,-1.94%,12.28%,-3.22%,118.56%,58.68,41.05
ENLK,"EnLink Midstream Partners, LP",Basic Materials,Independent Oil & Gas,USA,,30.21,,2.61,1.58,,,4.72%,,-1.11,-69.60%,60.32%,4.20%,8.00%,-11.40%,16.80%,57.10%,-1.40%,-2.40%,-2.10%,23.90%,6.80%,-2.60%,0.33%,1.19%,65.55%,1.12,2.51%,3.05%,0.21%,5.94%,-6.08%,12.79%,-12.05%,75.27%,57.93,30.51
ENR,Energizer Holdings Inc.,Consumer Goods,Personal Products,USA,20.2,15.95,3.23,1.71,2.91,6.87,16.66,1.65%,33.00%,5.99,4.00%,7.28%,3.00%,6.25%,0.60%,-25.40%,1.70%,5.50%,14.90%,8.70%,47.10%,15.70%,8.60%,6.40%,27.81%,24.72%,0.97,1.33%,1.92%,1.78%,13.03%,-1.87%,6.44%,-1.87%,36.08%,60.23,121.02
EOG,"EOG Resources, Inc.",Basic Materials,Independent Oil & Gas,USA,24.15,16.41,2.01,3.75,3.45,47.3,242.82,0.47%,9.90%,4.4,282.90%,14.35%,-3.70%,12.03%,15.30%,6.60%,9.30%,7.60%,15.30%,11.40%,60.50%,26.50%,15.50%,2.32%,18.09%,38.28%,1.3,1.52%,2.16%,-5.67%,9.49%,-10.55%,2.61%,-10.55%,40.05%,40.4,106.27
EPB,"El Paso Pipeline Partners, L.P.",Basic Materials,Oil & Gas Pipelines,USA,24.14,24.68,,6.62,3.15,198.08,,6.19%,149.10%,1.74,-13.50%,1.37%,8.80%,-0.76%,7.20%,-20.00%,-1.70%,5.50%,17.20%,14.50%,81.10%,58.50%,25.60%,28.32%,45.73%,6.38%,0.31,1.19%,2.44%,17.17%,26.33%,-2.19%,28.24%,-2.19%,51.16%,71.14,42
EPD,Enterprise Products Partners L.P.,Basic Materials,Independent Oil & Gas,USA,13.87,11.96,2.07,0.75,2.33,37.41,,7.21%,94.20%,2.84,4.10%,4.77%,25.90%,6.70%,6.10%,2.40%,13.40%,6.60%,17.80%,10.50%,7.20%,7.00%,5.40%,6.26%,20.06%,33.09%,0.7,1.70%,2.16%,2.71%,12.71%,-1.18%,10.77%,-1.18%,36.64%,60.67,39.38
EQIX,"Equinix, Inc.",Technology,Internet Software & Services,USA,81.91,39.1,2.69,5.17,4.26,16.83,,,0.00%,2.72,-26.70%,90.63%,-7.50%,30.47%,25.00%,142.30%,14.40%,1.90%,5.60%,5.10%,51.20%,21.50%,6.10%,13.44%,17.39%,33.18%,1.07,1.72%,1.79%,5.02%,18.05%,-0.75%,11.23%,-0.75%,45.79%,70.12,222.8
EQM,"EQT Midstream Partners, LP",Basic Materials,Major Integrated Oil & Gas,USA,33.77,23.11,1.64,22.76,7.94,222.13,,2.13%,65.00%,2.73,138.80%,15.66%,38.70%,20.63%,20.90%,113.20%,21.00%,13.60%,19.40%,12.80%,,64.10%,53.20%,17.05%,41.38%,110.55%,,2.94%,3.47%,-0.11%,27.97%,-9.53%,12.99%,-9.53%,111.82%,53.83,92.18
EQR,Equity Residential,Financial,REIT - Residential,USA,120.78,48.38,11.81,9.44,2.34,315.77,,3.01%,103.20%,0.55,-312.10%,24.59%,-16.90%,10.23%,4.80%,230.00%,5.70%,2.90%,6.50%,2.30%,65.40%,32.60%,26.50%,9.82%,15.39%,32.89%,0.76,1.21%,1.39%,3.54%,14.95%,-1.48%,10.67%,-1.48%,36.62%,59.19,66.43
EQT,EQT Corporation,Basic Materials,Independent Oil & Gas,USA,35.2,23.11,1.4,7.3,3.37,10.74,,0.13%,3.60%,2.7,118.90%,16.09%,-0.30%,25.13%,3.40%,31.50%,11.20%,4.90%,12.40%,7.30%,89.10%,41.00%,25.70%,-6.97%,-6.58%,11.16%,0.94,1.41%,2.01%,-5.95%,-2.44%,-13.54%,2.59%,-14.68%,17.89%,41.42,95.04
ESRX,Express Scripts Holding Company,Healthcare,Health Care Plans,USA,33.05,13.77,2.51,0.56,2.78,19.73,11.87,,0.00%,2.27,28.30%,11.68%,8.40%,13.16%,36.50%,-1.50%,-4.80%,3.30%,8.10%,6.80%,7.80%,3.40%,1.80%,6.97%,0.91%,16.06%,1.15,1.17%,1.40%,8.03%,5.82%,-0.44%,15.29%,-5.47%,26.74%,75.04,75.03
ESS,Essex Property Trust Inc.,Financial,REIT - Residential,USA,81.97,51.09,10.16,16.63,2.05,680.34,,2.71%,153.20%,2.34,4.20%,86.95%,11.50%,8.07%,8.80%,-87.70%,72.10%,1.80%,4.50%,3.60%,67.80%,28.90%,17.40%,7.54%,16.95%,34.25%,0.84,1.12%,1.23%,2.34%,14.25%,-1.61%,9.24%,-1.61%,41.66%,57.28,191.81
ETE,"Energy Transfer Equity, L.P.",Basic Materials,Oil & Gas Pipelines,USA,132.86,29.83,6.21,0.61,24.73,30.48,,2.52%,267.50%,0.43,-62.30%,65.23%,-19.20%,21.40%,39.10%,116.70%,17.00%,0.50%,20.80%,5.30%,12.10%,4.80%,0.50%,11.82%,33.14%,87.07%,0.88,2.06%,3.04%,1.26%,23.04%,-5.06%,10.46%,-5.06%,92.04%,51.41,57.13
ETFC,E*TRADE Financial Corporation,Financial,Investment Brokerage - National,USA,24.35,19.75,0.69,3.22,1.25,2.14,5.91,,0.00%,0.92,174.40%,11.18%,15.10%,35.10%,-9.50%,221.10%,-2.00%,0.60%,5.50%,0.60%,83.00%,29.00%,13.50%,10.24%,-1.37%,52.48%,2.26,1.91%,2.62%,5.35%,7.63%,-2.40%,12.17%,-12.43%,60.80%,64.46,22.4
ETN,Eaton Corporation plc,Industrial Goods,Diversified Machinery,USA,20.9,13.07,1.88,1.48,1.96,26.26,43.95,2.81%,54.00%,3.34,12.40%,16.24%,3.70%,11.12%,7.50%,-65.40%,2.90%,4.50%,9.60%,8.10%,30.10%,11.20%,7.10%,-4.63%,-4.98%,6.97%,1.65,1.14%,1.60%,-5.51%,-3.87%,-12.10%,4.91%,-12.10%,13.97%,44.36,69.81
ETP,"Energy Transfer Partners, L.P.",Basic Materials,Oil & Gas Pipelines,USA,235.29,18.7,9.3,0.37,1.69,16.41,,6.62%,800.00%,0.24,-104.70%,3.89%,-15.60%,25.30%,37.90%,12.90%,12.80%,0.30%,1.20%,5.40%,10.80%,5.00%,0.30%,2.84%,8.91%,15.36%,0.89,0.85%,1.51%,-0.06%,5.43%,-3.68%,3.35%,-3.68%,20.82%,46.16,56.47
ETR,Entergy Corporation,Utilities,Electric Utilities,USA,13.66,14.05,10.27,1.09,1.33,20.6,30.14,4.45%,60.70%,5.46,-16.20%,-13.65%,-8.40%,1.33%,-2.70%,14.10%,9.40%,2.20%,10.00%,4.80%,83.30%,17.20%,8.00%,1.86%,18.97%,23.60%,0.4,1.54%,1.69%,-1.61%,10.58%,-8.54%,6.69%,-8.54%,28.35%,52.34,74.57
